Match Date,Player 1 Name,Player 2 Name,Score,Winning player name,Player 1 Ranking,Player 2 Ranking,Player 1 Aces,Player 2 Aces,Player 1 Double Faults,Player 2 Double Faults,Player 1 1st Serve Percentage,Player 2 1st Serve Percentage,Player 1 1st Serve Points Won,Player 2 1st Serve Points Won,Player 1 2nd Serve Points Won,Player 2 2nd Serve Points Won,Player 1 Break Points Saved,Player 2 Break Points Saved,Player 1 Return,Player 2 Return,Player 1 1st Return Points Won,Player 2 1st Return Points Won,Player 1 2nd Return Points Won,Player 2 2nd Return Points Won,Player 1 Break Points Converted,Player 2 Break Points Converted,Player 1 Winners,Player 2 Winners,Player 1 Unforced Errors,Player 2 Unforced Errors,Player 1 Net Points Won,Player 2 Net Points Won,Player 1 Max Points in Row,Player 2 Max Points in Row,Player 1 Service Points Won,Player 2 Service Points Won,Player 1 Return Points Won,Player 2 Return Points Won,Player 1 Total Points Won,Player 2 Total Points Won,Player 1 Max Games in Row,Player 2 Max Games in Row,Player 1 Service Games Won,Player 2 Service Games Won,Player 1 Return Games Won,Player 2 Return Games Won,Player 1 Total Games Won,Player 2 Total Games Won,Player 1 Distance Covered,Player 2 Distance Covered
20-10-2008,J. W. Tsonga,F. Santoro,(6-2)(5-7)(6-3),J. W. Tsonga,,,20.5%,5.2%,1.3%,0.0%,69.2%,62.3%,81.5%,77.1%,75.0%,48.3%,80.0%,25.0%,,,22.9%,18.5%,51.7%,25.0%,,,,,,,,,,,79.5%,66.2%,33.8%,20.5%,56.8%,43.2%,,,93.3%,78.6%,21.4%,6.7%,58.6%,41.4%,,
20-10-2008,J. Ouanna,I. Ljubicic,(6-7)(7-6)(6-4),J. Ouanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,J. Benneteau,T. Robredo,(6-2)(6-2),J. Benneteau,,,14.3%,7.8%,8.2%,3.1%,63.3%,62.5%,83.9%,62.5%,55.6%,25.0%,100.0%,69.2%,,,37.5%,16.1%,75.0%,44.4%,,,,,,,,,,,73.5%,48.4%,51.6%,26.5%,61.1%,38.9%,,,100.0%,50.0%,50.0%,0.0%,75.0%,25.0%,,
20-10-2008,N. Lapentti,I. Karlovic,(7-6)(6-3),N. Lapentti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,S. Darcis,R. Gasquet,(6-4)(3-6)(7-6),S. Darcis,,,2.3%,17.2%,0.0%,2.0%,67.4%,66.7%,74.1%,83.3%,53.6%,33.3%,57.1%,50.0%,,,16.7%,25.9%,66.7%,46.4%,,,,,,,,,,,67.4%,66.7%,33.3%,32.6%,49.2%,50.8%,,,80.0%,81.3%,18.8%,20.0%,48.4%,51.6%,,
20-10-2008,P. H. Mathieu,G. Canas,(6-3)(6-4),P. H. Mathieu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,J. C. Ferrero,S. Querrey,(6-3)(7-5),J. C. Ferrero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,F. Santoro,F. Fognini,(6-4)(6-1),F. Santoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,J. W. Tsonga,M. Gicquel,(7-5)(4-6)(6-3),J. W. Tsonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,T. Robredo,M. Llodra,(6-4)(6-3),T. Robredo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,J. Benneteau,A. Clement,(6-3)(6-2),J. Benneteau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,S. Darcis,R. Stepanek,(6-4)(3-6)(6-3),S. Darcis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,R. Gasquet,S. Giraldo,(5-7)(6-3)(7-6),R. Gasquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,A. Murray,V. Troicki,(6-3)(6-3),A. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,A. Murray,E. Gulbis,(6-4)(6-2),A. Murray,,,10.4%,7.4%,0.0%,1.9%,58.3%,66.7%,82.1%,58.3%,60.0%,38.9%,75.0%,55.6%,,,41.7%,17.9%,61.1%,40.0%,,,,,,,,,,,72.9%,51.9%,48.1%,27.1%,59.8%,40.2%,,,88.9%,55.6%,44.4%,11.1%,66.7%,33.3%,,
20-10-2008,A. Murray,J. Tipsarevic,(7-6)(7-5),A. Murray,,,10.6%,8.0%,2.4%,4.6%,55.3%,49.4%,74.5%,74.4%,50.0%,43.2%,71.4%,62.5%,,,25.6%,25.5%,56.8%,50.0%,,,,,,,,,,,63.5%,58.6%,41.4%,36.5%,52.3%,47.7%,,,83.3%,75.0%,25.0%,16.7%,54.2%,45.8%,,
20-10-2008,A. Murray,F. Verdasco,(6-0)(6-3),A. Murray,,,9.1%,2.0%,1.8%,13.7%,60.0%,66.7%,78.8%,47.1%,45.5%,29.4%,50.0%,50.0%,,,52.9%,21.2%,70.6%,54.5%,,,,,,,,,,,65.5%,41.2%,58.8%,34.5%,62.3%,37.7%,,,87.5%,28.6%,71.4%,12.5%,80.0%,20.0%,,
20-10-2008,A. Murray,A. Golubev,(6-1)(6-1),A. Murray,,,0.0%,2.0%,4.9%,4.1%,75.6%,53.1%,87.1%,50.0%,30.0%,34.8%,100.0%,37.5%,,,50.0%,12.9%,65.2%,70.0%,,,,,,,,,,,73.2%,42.9%,57.1%,26.8%,64.4%,35.6%,,,100.0%,28.6%,71.4%,0.0%,85.7%,14.3%,,
20-10-2008,E. Gulbis,G. Garcia Lopez,(6-0)(6-2),E. Gulbis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,J. Tipsarevic,J. Chardy,(6-4)(7-6),J. Tipsarevic,,,15.9%,9.0%,0.0%,3.0%,58.0%,73.1%,82.5%,73.5%,55.2%,44.4%,75.0%,50.0%,,,26.5%,17.5%,55.6%,44.8%,,,,,,,,,,,71.0%,65.7%,34.3%,29.0%,52.9%,47.1%,,,90.9%,81.8%,18.2%,9.1%,54.5%,45.5%,,
20-10-2008,F. Verdasco,R. Schuettler,(7-5)(6-2),F. Verdasco,,,5.3%,4.7%,5.3%,0.0%,86.0%,68.8%,67.3%,47.7%,62.5%,55.0%,33.3%,54.5%,,,52.3%,32.7%,45.0%,37.5%,,,,,,,,,,,66.7%,50.0%,50.0%,33.3%,57.9%,42.1%,,,80.0%,50.0%,50.0%,20.0%,65.0%,35.0%,,
20-10-2008,A. Golubev,V. Hanescu,(6-3)(6-0),A. Golubev,,,5.3%,2.2%,2.6%,2.2%,71.1%,80.4%,74.1%,48.6%,72.7%,22.2%,,44.4%,,,51.4%,25.9%,77.8%,27.3%,,,,,,,,,,,73.7%,43.5%,56.5%,26.3%,64.3%,35.7%,,,100.0%,37.5%,62.5%,0.0%,80.0%,20.0%,,
20-10-2008,J. Tipsarevic,P. Starace,(6-3)(7-6),J. Tipsarevic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,F. Verdasco,K. Lejnieks,(6-1)(6-3),F. Verdasco,,,4.7%,5.1%,9.3%,1.7%,62.8%,71.2%,88.9%,52.4%,62.5%,35.3%,100.0%,33.3%,,,47.6%,11.1%,64.7%,37.5%,,,,,,,,,,,79.1%,47.5%,52.5%,20.9%,63.7%,36.3%,,,100.0%,50.0%,50.0%,0.0%,75.0%,25.0%,,
20-10-2008,A. Golubev,M. Zverev,(6-7)(6-4)(7-6),A. Golubev,,,5.1%,0.9%,1.7%,0.9%,60.2%,77.7%,76.1%,67.8%,51.1%,60.0%,80.0%,57.1%,,,32.2%,23.9%,40.0%,48.9%,,,,,,,,,,,66.1%,66.1%,33.9%,33.9%,50.4%,49.6%,,,88.2%,82.4%,17.6%,11.8%,52.9%,47.1%,,
20-10-2008,J. Chardy,M. Ancic,(6-4)(3-6)(6-4),J. Chardy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,R. Schuettler,D. Hrbaty,(6-3)(6-3),R. Schuettler,,,2.1%,1.9%,8.5%,1.9%,63.8%,59.6%,90.0%,61.3%,58.8%,47.6%,100.0%,57.1%,,,38.7%,10.0%,52.4%,41.2%,,,,,,,,,,,78.7%,55.8%,44.2%,21.3%,60.6%,39.4%,,,100.0%,66.7%,33.3%,0.0%,66.7%,33.3%,,
20-10-2008,V. Hanescu,M. Elgin,(6-1)(6-4),V. Hanescu,,,2.0%,1.9%,0.0%,1.9%,69.4%,56.6%,79.4%,53.3%,66.7%,47.8%,66.7%,42.9%,,,46.7%,20.6%,52.2%,33.3%,,,,,,,,,,,75.5%,50.9%,49.1%,24.5%,61.8%,38.2%,,,88.9%,50.0%,50.0%,11.1%,70.6%,29.4%,,
20-10-2008,F. Verdasco,T. Gabashvili,(1-6)(6-4)(6-3),F. Verdasco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,A. Golubev,M. Safin,(6-4)(6-2),A. Golubev,,,13.7%,7.0%,7.8%,2.8%,52.9%,46.5%,88.9%,57.6%,50.0%,47.4%,50.0%,60.0%,,,42.4%,11.1%,52.6%,50.0%,,,,,,,,,,,70.6%,52.1%,47.9%,29.4%,57.4%,42.6%,,,88.9%,55.6%,44.4%,11.1%,66.7%,33.3%,,
20-10-2008,K. Lejnieks,A. Kudryavtsev,(3-6)(7-6)(6-3),K. Lejnieks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,M. Zverev,M. Youzhny,(7-5)(6-4),M. Zverev,,,7.9%,0.0%,0.0%,4.6%,79.4%,64.6%,68.0%,59.5%,61.5%,47.8%,66.7%,20.0%,,,40.5%,32.0%,52.2%,38.5%,,,,,,,,,,,66.7%,55.4%,44.6%,33.3%,55.5%,44.5%,,,81.8%,63.6%,36.4%,18.2%,59.1%,40.9%,,
20-10-2008,R. Schuettler,I. Kunitsyn,(6-2)(6-3),R. Schuettler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,V. Hanescu,M. Kukushkin,(6-3)(7-6),V. Hanescu,,,10.3%,8.0%,5.9%,5.3%,72.1%,54.7%,71.4%,70.7%,47.4%,47.1%,0.0%,50.0%,,,29.3%,28.6%,52.9%,52.6%,,,,,,,,,,,64.7%,60.0%,40.0%,35.3%,51.7%,48.3%,,,81.8%,70.0%,30.0%,18.2%,57.1%,42.9%,,
20-10-2008,D. Hrbaty,D. Tursunov,(6-1)(6-1),D. Hrbaty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,M. Elgin,N. Davydenko,,M. Elgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,M. Safin,S. Stakhovsky,(6-2)(6-4),M. Safin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,A. Golubev,O. Rochus,(6-1)(6-4),A. Golubev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,M. Zverev,F. Serra,(6-4)(6-2),M. Zverev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,M. Youzhny,I. Navarro,(6-2)(6-1),M. Youzhny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,M. Kukushkin,M. Cilic,(7-6)(4-6)(7-6),M. Kukushkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,V. Hanescu,E. Korolev,(6-1)(6-2),V. Hanescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-10-2008,M. Elgin,F. Volandri,(6-4)(6-4),M. Elgin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,E. Gulbis,N. Kiefer,(5-7)(6-4)(7-5),E. Gulbis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,R. Nadal,E. Gulbis,(7-5)(3-6)(6-3),R. Nadal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,R. Nadal,R. Gasquet,(6-4)(6-2),R. Nadal,,,3.5%,6.7%,3.5%,0.0%,57.9%,58.3%,81.8%,65.7%,54.2%,48.0%,100.0%,66.7%,,,34.3%,18.2%,52.0%,45.8%,,,,,,,,,,,70.2%,58.3%,41.7%,29.8%,55.6%,44.4%,,,100.0%,66.7%,33.3%,0.0%,66.7%,33.3%,,
12-10-2008,R. Nadal,F. Lopez,(6-4)(6-4),R. Nadal,,,0.0%,7.4%,0.0%,1.9%,70.5%,53.7%,74.4%,72.4%,72.2%,56.0%,100.0%,50.0%,,,27.6%,25.6%,44.0%,27.8%,,,,,,,,,,,73.8%,64.8%,35.2%,26.2%,55.7%,44.3%,,,100.0%,80.0%,20.0%,0.0%,60.0%,40.0%,,
12-10-2008,G. Simon,R. Nadal,(3-6)(7-5)(7-6),G. Simon,,,2.0%,2.0%,2.0%,1.0%,61.2%,61.8%,63.3%,65.1%,49.1%,59.0%,77.3%,50.0%,,,34.9%,36.7%,41.0%,50.9%,,,,,,,,,,,57.8%,62.7%,37.3%,42.2%,49.4%,50.6%,,,70.6%,75.0%,25.0%,29.4%,48.5%,51.5%,,
12-10-2008,A. Murray,G. Simon,(6-4)(7-6),A. Murray,,,16.7%,1.3%,0.0%,1.3%,66.7%,54.7%,84.1%,70.7%,50.0%,55.9%,,75.0%,,,29.3%,15.9%,44.1%,50.0%,,,,,,,,,,,72.7%,64.0%,36.0%,27.3%,53.2%,46.8%,,,100.0%,90.9%,9.1%,0.0%,54.5%,45.5%,,
12-10-2008,M. Fish,S. Darcis,(6-1)(6-4),M. Fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,R. Gasquet,M. Fish,(6-7)(6-4)(6-3),R. Gasquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,F. Lopez,S. Wawrinka,(6-4)(6-4),F. Lopez,,,17.3%,12.5%,1.9%,1.8%,67.3%,66.1%,85.7%,75.7%,70.6%,52.6%,,33.3%,,,24.3%,14.3%,47.4%,29.4%,,,,,,,,,,,80.8%,67.9%,32.1%,19.2%,55.6%,44.4%,,,100.0%,80.0%,20.0%,0.0%,60.0%,40.0%,,
12-10-2008,G. Simon,I. Karlovic,(7-6)(4-6)(7-6),G. Simon,,,4.1%,27.0%,1.0%,1.0%,55.1%,69.0%,77.8%,78.3%,56.8%,35.5%,33.3%,57.1%,,,21.7%,22.2%,64.5%,43.2%,,,,,,,,,,,68.4%,65.0%,35.0%,31.6%,51.5%,48.5%,,,76.5%,82.4%,17.6%,23.5%,47.1%,52.9%,,
12-10-2008,A. Murray,R. Federer,(3-6)(6-3)(7-5),A. Murray,,,16.3%,7.1%,2.3%,1.0%,61.6%,66.3%,84.9%,70.8%,51.5%,54.5%,66.7%,77.8%,,,29.2%,15.1%,45.5%,48.5%,,,,,,,,,,,72.1%,65.3%,34.7%,27.9%,52.2%,47.8%,,,93.3%,86.7%,13.3%,6.7%,53.3%,46.7%,,
12-10-2008,P. Kohlschreiber,C. Moya,(6-2)(6-2),P. Kohlschreiber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,S. Wawrinka,P. Kohlschreiber,(3-6)(7-5)(7-6),S. Wawrinka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,I. Karlovic,N. Djokovic,(7-6)(7-6),I. Karlovic,,,24.1%,11.3%,0.0%,0.0%,65.1%,66.2%,88.9%,83.0%,48.3%,70.8%,100.0%,100.0%,,,17.0%,11.1%,29.2%,51.7%,,,,,,,,,,,74.7%,78.9%,21.1%,25.3%,50.0%,50.0%,,,100.0%,100.0%,0.0%,0.0%,50.0%,50.0%,,
12-10-2008,A. Murray,G. Monfils,(6-2)(6-2),A. Murray,,,5.8%,7.4%,0.0%,3.7%,61.5%,63.0%,68.8%,50.0%,50.0%,30.0%,0.0%,45.5%,,,50.0%,31.3%,70.0%,50.0%,,,,,,,,,,,61.5%,42.6%,57.4%,38.5%,59.4%,40.6%,,,75.0%,25.0%,75.0%,25.0%,75.0%,25.0%,,
12-10-2008,F. Lopez,A. Montanes,(7-6)(6-3),F. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,F. Lopez,D. Ferrer,(6-4)(7-6),F. Lopez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,G. Simon,R. Ginepri,(6-7)(6-4)(7-6),G. Simon,,,10.7%,4.7%,3.6%,3.1%,55.4%,71.1%,74.2%,64.8%,58.0%,51.4%,50.0%,71.4%,,,35.2%,25.8%,48.6%,42.0%,,,,,,,,,,,67.0%,60.9%,39.1%,33.0%,52.1%,47.9%,,,82.4%,76.5%,23.5%,17.6%,52.9%,47.1%,,
12-10-2008,R. Federer,J. M. Del Potro,(6-3)(6-3),R. Federer,,,5.7%,17.6%,0.0%,5.9%,69.8%,60.3%,78.4%,73.2%,56.3%,29.6%,100.0%,66.7%,,,26.8%,21.6%,70.4%,43.8%,,,,,,,,,,,71.7%,55.9%,44.1%,28.3%,56.2%,43.8%,,,100.0%,66.7%,33.3%,0.0%,66.7%,33.3%,,
12-10-2008,V. Hanescu,D. Tursunov,(4-6)(6-2)(6-3),V. Hanescu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,N. Djokovic,V. Hanescu,(6-7)(7-6)(3-1),N. Djokovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,G. Monfils,A. Roddick,(6-4)(3-6)(6-3),G. Monfils,,,8.1%,16.5%,1.2%,3.8%,60.5%,62.0%,73.1%,83.7%,61.8%,50.0%,87.5%,33.3%,,,16.3%,26.9%,50.0%,38.2%,,,,,,,,,,,68.6%,70.9%,29.1%,31.4%,49.7%,50.3%,,,92.9%,85.7%,14.3%,7.1%,53.6%,46.4%,,
12-10-2008,R. Soderling,F. Serra,(6-3)(6-4),R. Soderling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,I. Karlovic,R. Soderling,(7-6)(7-6),I. Karlovic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,A. Murray,M. Cilic,(7-5)(7-6),A. Murray,,,5.6%,13.1%,4.2%,7.1%,53.5%,48.8%,81.6%,73.2%,51.5%,44.2%,0.0%,57.1%,,,26.8%,18.4%,55.8%,48.5%,,,,,,,,,,,67.6%,58.3%,41.7%,32.4%,53.5%,46.5%,,,83.3%,75.0%,25.0%,16.7%,54.2%,45.8%,,
12-10-2008,G. Simon,I. Andreev,(4-6)(6-1)(7-6),G. Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,G. Simon,J. Blake,(3-6)(6-1)(6-4),G. Simon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,J. M. Del Potro,D. Nalbandian,(6-4)(6-2),J. M. Del Potro,,,14.0%,10.9%,1.8%,9.1%,49.1%,50.9%,89.3%,75.0%,41.4%,29.6%,80.0%,20.0%,,,25.0%,10.7%,70.4%,58.6%,,,,,,,,,,,64.9%,52.7%,47.3%,35.1%,56.3%,43.8%,,,88.9%,55.6%,44.4%,11.1%,66.7%,33.3%,,
12-10-2008,R. Ginepri,M. Llodra,(6-4)(6-4),R. Ginepri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,R. Ginepri,N. Davydenko,(4-6)(6-4)(6-4),R. Ginepri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,R. Federer,J. W. Tsonga,(6-4)(6-1),R. Federer,,,18.0%,6.0%,2.0%,10.0%,62.0%,48.0%,80.6%,75.0%,68.4%,42.3%,100.0%,62.5%,,,25.0%,19.4%,57.7%,31.6%,,,,,,,,,,,76.0%,58.0%,42.0%,24.0%,59.0%,41.0%,,,100.0%,62.5%,37.5%,0.0%,70.6%,29.4%,,
12-10-2008,T. Robredo,A. Seppi,(7-6)(3-6)(6-3),T. Robredo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,A. Roddick,T. Robredo,(6-3)(6-4),A. Roddick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,G. Monfils,F. Fognini,(6-2)(6-4),G. Monfils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,G. Monfils,F. Gonzalez,(6-3)(6-4),G. Monfils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,M. Cilic,O. Rochus,(6-3)(7-5),M. Cilic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,M. Cilic,F. Verdasco,(6-2)(6-3),M. Cilic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,S. Bolelli,N. Almagro,(7-6)(6-1),S. Bolelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,A. Murray,S. Bolelli,(6-0)(2-1),A. Murray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,T. Berdych,R. Schuettler,(6-1)(6-2),T. Berdych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,D. Nalbandian,T. Berdych,(6-2)(6-7)(6-1),D. Nalbandian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,J. Nieminen,M. Youzhny,(7-5)(3-6)(6-2),J. Nieminen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,J. M. Del Potro,J. Nieminen,(6-2)(4-2),J. M. Del Potro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,M. Granollers,P. H. Mathieu,(6-4)(6-4),M. Granollers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,J. W. Tsonga,M. Granollers,(3-6)(6-3)(7-6),J. W. Tsonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,R. Stepanek,J. Monaco,(6-1)(6-1),R. Stepanek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10-2008,R. Federer,R. Stepanek,(6-3)(7-6),R. Federer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,P. Petzschner,S. Wawrinka,(6-7)(6-2)(7-6),P. Petzschner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,P. Petzschner,J. Hernych,(6-3)(6-4),P. Petzschner,,,12.5%,2.9%,2.1%,5.8%,70.8%,56.5%,88.2%,64.1%,71.4%,50.0%,,66.7%,,,35.9%,11.8%,50.0%,28.6%,,,,,,,,,,,83.3%,58.0%,42.0%,16.7%,59.0%,41.0%,,,100.0%,77.8%,22.2%,0.0%,63.2%,36.8%,,
06-10-2008,P. Petzschner,C. Moya,(6-4)(6-2),P. Petzschner,,,20.8%,7.5%,0.0%,5.7%,72.9%,66.0%,88.6%,65.7%,53.8%,44.4%,100.0%,25.0%,,,34.3%,11.4%,55.6%,46.2%,,,,,,,,,,,79.2%,58.5%,41.5%,20.8%,59.4%,40.6%,,,100.0%,66.7%,33.3%,0.0%,66.7%,33.3%,,
06-10-2008,P. Petzschner,F. Lopez,(3-6)(6-3)(6-3),P. Petzschner,,,8.3%,8.4%,2.8%,1.1%,54.2%,68.4%,79.5%,67.7%,60.6%,53.3%,66.7%,70.0%,,,32.3%,20.5%,46.7%,39.4%,,,,,,,,,,,70.8%,63.2%,36.8%,29.2%,51.5%,48.5%,,,92.3%,78.6%,21.4%,7.7%,55.6%,44.4%,,
06-10-2008,P. Petzschner,G. Monfils,(6-4)(6-4),P. Petzschner,,,5.9%,8.5%,0.0%,5.6%,56.9%,62.0%,72.4%,65.9%,72.7%,40.7%,0.0%,66.7%,,,34.1%,27.6%,59.3%,27.3%,,,,,,,,,,,72.5%,56.3%,43.7%,27.5%,55.7%,44.3%,,,90.0%,70.0%,30.0%,10.0%,60.0%,40.0%,,
06-10-2008,J. Hernych,R. Karanusic,(4-6)(6-4)(7-6),J. Hernych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,C. Moya,E. Schwank,(6-2)(6-3),C. Moya,,,14.5%,2.4%,1.6%,7.1%,59.7%,52.4%,81.1%,72.7%,56.0%,45.0%,100.0%,25.0%,,,27.3%,18.9%,55.0%,44.0%,,,,,,,,,,,71.0%,59.5%,40.5%,29.0%,58.7%,41.3%,,,100.0%,62.5%,37.5%,0.0%,70.6%,29.4%,,
06-10-2008,F. Lopez,J. Melzer,(4-6)(6-3)(6-4),F. Lopez,,,12.4%,3.8%,5.6%,1.3%,52.8%,53.8%,80.9%,78.6%,59.5%,61.1%,66.7%,0.0%,,,21.4%,19.1%,38.9%,40.5%,,,,,,,,,,,70.8%,70.5%,29.5%,29.2%,51.5%,48.5%,,,93.3%,85.7%,14.3%,6.7%,55.2%,44.8%,,
06-10-2008,G. Monfils,P. Kohlschreiber,(6-4)(5-7)(7-6),G. Monfils,,,9.6%,1.6%,0.9%,2.4%,70.4%,72.6%,74.1%,62.2%,41.2%,64.7%,66.7%,76.9%,,,37.8%,25.9%,35.3%,58.8%,,,,,,,,,,,64.3%,62.9%,37.1%,35.7%,50.2%,49.8%,,,82.4%,82.4%,17.6%,17.6%,50.0%,50.0%,,
06-10-2008,C. Moya,M. Berrer,(7-6)(7-6),C. Moya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06-10-2008,J. Melzer,J. C. Ferrero,(7-6)(6-3),J. Melzer,,,10.3%,3.9%,1.5%,3.9%,67.6%,67.5%,78.3%,75.0%,77.3%,36.0%,66.7%,66.7%,,,25.0%,21.7%,64.0%,22.7%,,,,,,,,,,,77.9%,62.3%,37.7%,22.1%,56.6%,43.4%,,,90.9%,80.0%,20.0%,9.1%,57.1%,42.9%,,
